doc_id,filename,extension,tipo_documento
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,.pdf,MEJORA
DOC_002,CNS-0554-24 Agosto 5 2024 Mejoras despliegues DataR.pdf,.pdf,MEJORA
DOC_003,CNS-0866-23 INT_DATAR_Comunicado_14_09102023_VF.pdf,.pdf,COMUNICADO
DOC_004,Solicitud cambio apoyo gerencia.pdf,.pdf,OTRO
DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,.pdf,ACTA
DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,.pdf,COMUNICADO
DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,.pdf,ACTA
DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,.pdf,ACTA
DOC_009,INT_PC_AC_Acta Seguimiento Ejecutivo_20250829.pdf,.pdf,ACTA
DOC_010,INT_PC_AC_Acta Seguimiento Ejecutivo_20250303.pdf,.pdf,ACTA
DOC_011,INT_PC_AC_Acta Seguimiento Ejecutivo_20250130.pdf,.pdf,ACTA
DOC_012,INT_PC_AC_Acta Seguimiento Ejecutivo_20241203.pdf,.pdf,ACTA
DOC_013,INT_PC_AC_Acta Seguimiento Ejecutivo_20241203.docx,.docx,ACTA
DOC_014,INT_PC_AC_Acta Seguimiento Ejecutivo_20241024.docx,.docx,ACTA
DOC_015,INT_PC_AC_Acta Seguimiento Ejecutivo_20240827.docx,.docx,ACTA
DOC_016,INT_PC_AC_Acta Seguimiento Ejecutivo_20240709.docx,.docx,ACTA
DOC_017,INT_PC_AC_Acta Seguimiento Ejecutivo_20240430.docx,.docx,ACTA
DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,.docx,ACTA
DOC_019,DataR - Acta - Continuación Servicios Fijos - DataR v2.docx,.docx,ACTA
DOC_020,CNS-0570-24 INT-DATAR-Comunicado 67-Incumplimiento tiempos plan de cierre-202407.docx,.docx,COMUNICADO
DOC_021,CNS-0483-24_Incumplimiento_compromisos.pdf,.pdf,INCUMPLIMIENTO
DOC_022,INT_DATAR_20240105.pdf,.pdf,OTRO
DOC_023,INT_DATAR_Comunicado_2_20230124.pdf,.pdf,COMUNICADO
DOC_024,INT_DATAR_Comunicado_33_20231226.pdf,.pdf,COMUNICADO
DOC_025,INT_DATAR_Comunicado_36_20140105.pdf,.pdf,COMUNICADO
DOC_026,INT_EJE_RV_Comunicado_3_DATAR_10042023_VF.pdf,.pdf,COMUNICADO
DOC_027,INT_DATAR_Comunicado_12_20230929- V1.pdf,.pdf,COMUNICADO
DOC_028,CNS-XXXX-24 INT-DATAR-Comunicado 58-Respuesta de interventoría-202405.docx,.docx,COMUNICADO
DOC_029,CNS-0418-24 INT-DATAR-Comunicado 59-Resultado Review S9-202405.docx,.docx,COMUNICADO
DOC_030,CNS-0418-24 INT-DATAR-Comunicado 59-Resultado Review S9-202405.pdf,.pdf,COMUNICADO
DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,.docx,COMUNICADO
DOC_032,0504-24_INT-DATAR-Comunicado 64-notificación aplicación ANS Cifras recaudo-202407.pdf,.pdf,COMUNICADO
DOC_033,INT_PC_AC_Acta Seguimiento Interventoria_20240409.docx,.docx,ACTA
DOC_034,INT_PC_AC_Acta Seguimiento Interventoria_20240402.docx,.docx,ACTA
DOC_035,RQ001 Acta Review Sprint 8_Firmada.pdf,.pdf,ACTA
DOC_036,CNS-0570-24 INT-DATAR-Comunicado 67-Incumplimiento tiempos plan de cierre-202407.pdf,.pdf,COMUNICADO
