categoria,tipo_tarea,cantidad
acciones_correctivas,retrieval_rag,1
actas_compromisos,retrieval_rag,1
ans,retrieval_rag,1
calidad,retrieval_rag,2
causas_incumplimiento,rag_sintesis,1
comunicaciones,retrieval_rag,1
despliegues,retrieval_rag,1
evidencia,retrieval_rag,1
gobierno,retrieval_rag,1
incumplimientos,retrieval_rag,2
incumplimientos,retrieval_recommendation,1
mitigacion,retrieval_rag,1
recomendacion_documental,retrieval_recommendation,1
riesgos,rag_sintesis,1
riesgos,retrieval_rag,1
riesgos,risk_extraction,2
timeline_riesgos,risk_timeline,1
