doc_id,filename,tipo_documento,page,chunk_id,chunk_text,chunk_size_words,chunk_size_chars,chunking_strategy,chunk_size_param,overlap_param
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,1,DOC_001_CHUNK_001,"Kyndryl Colombia SAS – Carrera 53 #100-25 – Bogotá Bogotá, 25 de septiembre de 2024 Sra. PATRICIA PATIÑO Ernst & Young S.A.S DIAN Ciudad REF: Solicitud de mejora en el proceso de despliegue de acuerdo con las lecciones aprendidas del reléase 1 del requerimiento de “Cifras de Recaudo” del proyecto DataR. Respetada Patricia: En atención al comunicado CNS-0554-24 con asunto de la referencia, nos permitimos dar respuesta a lo descrito como Solicitud de mejora en el proceso de despliegue de acuerdo con las lecciones aprendidas del reléase 1 del requerimiento de “Cifras de Recaudo” del proyecto DataR. 1. Falta de Uso de Azure Blueprints Solicitud de respuesta Interventoria: “Descripción: Contractualmente, se debía implementar Azure Blueprints para la configuración y administración de los recursos en Azure por parte de Kyndryl; sin embargo, esta herramienta no se ha utilizado de manera adecuada, pues se evidencian configuraciones manuales por parte de los equipos. En donde se espera que el uso adecuado de las Herramientas de Azure DevOps como solución para la entrega de soluciones de software de forma segura y rápida. Impacto: • Se evidencia falta de estandarización y automatización en la implementación de servicios para el despliegue. En donde se evidencia en las sesiones configuraciones manuales de los recursos. • A la fecha, la presente actividad tiene un atraso preocupante de 9 semanas, solo para realizar el primer despliegue de los 3 proyectados inicialmente. • Dificultad para reusar y repetir despliegues a demanda o necesidad de la DIAN, en donde se evidencia que las sesiones de despliegue se avanzan a prueba y error. Recomendación: implementar completamente Blueprints (Template Specs/Deployment Stacks), para garantizar una configuración estandarizada y repetible de los recursos en Azure. Hacer uso de las funciones de las herramientas de automatización de Azure DevOps para evitar configuraciones manuales y/o a prueba y error.” Respuesta Kyndryl: Kyndryl ejecutó el despliegue de la infraestructura mediante IaC teniendo en cuenta el requerimiento RITM0020783 que fue atendido y para lo cual se utilizó Azure DevOps. Se ejecutó configuración manual para el ajuste de permisos",339,2207,fixed_words_overlap,450,75
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,2,DOC_001_CHUNK_002,"Kyndryl Colombia SAS – Carrera 53 #100-25 – Bogotá y secretos debido a que no se desarrollaron sesiones técnicas de verificación de pre-requesitos, por lo cual se definió en conjunto durante las sesiones de despliegue ejecutar la configuración de modo manual. Para la ejecución de los requerimientos se ha solicitado al equipo de desarrollo del proveedor realizar la entrega previa de la actualización de la arquitectura suministrada desde Kyndryl. Las actividades que se reportan con atraso no son responsabilidad de la administración de Kyndryl, sino del proveedor, ya que no tenemos tareas pendientes por ejecutar. La herramienta actual utilizada por Kyndryl para el aprovisionamiento de infraestructura es Terraform dado que es un estándar agnóstico al proveedor de nube y sirve para los entornos de Multinube hibrida. Azure Blueprints se encuentra en estado de obsolescencia como se puede evidenciar en la nota del fabricante (https://learn.microsoft.com/en-us/azure/governance/blueprints/overview) 2. Ausencia de Infraestructura como Código (IaC) Solicitud de respuesta Interventoria: “Descripción: El Consorcio entregó un Excel con la lista de servicios a implementar, sin embargo, no se evidenció la utilización de Infraestructura como Código (IaC) para el aprovisionamiento de los servicios. Impacto: • Dependencia en la configuración manual, lo que lleva a errores y variabilidad en los entornos. • Retrasos en la implementación debido a la falta de automatización. Recomendación: adoptar herramientas de IaC para la implementación y gestión automatizada de la infraestructura y aplicaciones. Así mismo se debe garantizar la homologación de características de los ambientes del Consorcio con los ambientes de la DIAN” Respuesta Kyndryl: El despliegue se realizó utilizando Infrastructure as Code (IaC), conforme a lo acordado con el equipo de desarrollo. Ellos mencionaron que tenían plantillas ARM para la infraestructura; sin embargo, se procedió a crear el despliegue de los ambientes no productivos desde cero. Esto se debe a que Kyndryl utiliza Terraform para el aprovisionamiento, por lo que es necesario generar los artefactos desde el inicio para asegurar que contemos con un repositorio de código adecuado. Respecto a los temas manuales, se ejecutaron debido a lo expresado en el anterior punto: “Se ejecutó configuración manual debido a que no se desarrollaron sesiones técnicas de verificación de prerrequisitos, por lo cual se definió en conjunto ejecutar la configuración de modo manual”. Para mejorar el proceso es necesario crear sesiones de predespliegue para garantizar los prerrequisitos en la ejecución. 3. Falencias en los Desarrollos Solicitud de respuesta Interventoria: “Descripción: los desarrollos realizados por el Consorcio han requerido múltiples ajustes para su correcta operación, en donde se espera que los desarrollos cumplan con las revisiones de QA previas en ambiente de desarrollo Impacto: • Retrasos debido a la necesidad de corrección de errores y ajustes. • Falta de estabilidad y confiabilidad en los",450,3050,fixed_words_overlap,450,75
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,2,DOC_001_CHUNK_003,"necesario crear sesiones de predespliegue para garantizar los prerrequisitos en la ejecución. 3. Falencias en los Desarrollos Solicitud de respuesta Interventoria: “Descripción: los desarrollos realizados por el Consorcio han requerido múltiples ajustes para su correcta operación, en donde se espera que los desarrollos cumplan con las revisiones de QA previas en ambiente de desarrollo Impacto: • Retrasos debido a la necesidad de corrección de errores y ajustes. • Falta de estabilidad y confiabilidad en los desarrollos entregados.",77,535,fixed_words_overlap,450,75
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,3,DOC_001_CHUNK_004,"Kyndryl Colombia SAS – Carrera 53 #100-25 – Bogotá Recomendación: implementar un proceso riguroso de pruebas y QA internas de los productos y/o desarrollos en ambiente de desarrollo por parte del Consorcio antes de la entrega para el despliegue. Asegurarse de que los desarrollos cumplan con los estándares de calidad y los requerimientos del proyecto.” Respuesta Kyndryl: No aplica respuesta por parte de Kyndryl sino del Consorcio. 4. Fallos en la Ejecución de Pipelines Solicitud de respuesta Interventoria: “Descripción: se han presentado fallos en la ejecución de pipelines, impactando la migración de datos. Impacto: • Interrupciones en el flujo de trabajo y retrasos en la migración de datos. • Necesidad de intervención manual para solucionar problemas, lo que consume tiempo y recursos. Recomendación: automatizar la gestión y ejecución de los pipelines utilizando herramientas de DevOps. Automatización de despliegues, monitorización y alertas, recuperación automática, pruebas automatizadas. Estas medidas asegurarán que los procesos sean más eficientes, reducirán la necesidad de intervención manual y minimizarán los tiempos de inactividad, permitiendo una migración de datos más rápida.” Respuesta Kyndryl: Kyndryl, como administrador Multinube Hibrida, gestiona el proceso DevOps brindando soporte a la ejecución de pipelines en los ambientes prioritarios, tales como producción, garantizando la estabilidad y el monitoreo continuo. Sin embargo, no asume la responsabilidad directa del desarrollo de pipelines, delegando esta función al equipo de desarrollo correspondiente. Kyndryl recomienda seguir estrictamente los lineamientos y mejores prácticas establecidos por su equipo y que se encuentra plasmado en la documentación de Diseño y Habilitación de DevOps, para asegurar que los procesos de integración y entrega continua (CI/CD) sean ejecutados de manera eficiente y segura, alineándose con las políticas de gobernanza y cumplimiento. 5. Problemas con la Ejecución de Consultas en la DIAN Solicitud de respuesta Interventoria: “Descripción: se han presentado problemas en la ejecución de consultas que permiten la extracción de datos desde las fuentes en la DIAN. Impacto: Retrasos en la obtención de datos necesarios para la migración. Complicaciones adicionales en el proceso de integración de datos. Recomendación: trabajar en estrecha colaboración con la DIAN para identificar y resolver los problemas en la ejecución de consultas. Realizar pruebas de rendimiento y optimización de consultas para asegurar una extracción de datos eficiente” Respuesta Kyndryl: Kyndryl garantiza los monitoreos de manera recurrente para los accesos a nivel de redes, sin embargo, Kyndryl depende de los permisos que pueden ser modificados en el origen desde donde se ejecutan las consultas de los usuarios que",407,2817,fixed_words_overlap,450,75
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,4,DOC_001_CHUNK_005,"Kyndryl Colombia SAS – Carrera 53 #100-25 – Bogotá son administrados por DIAN. Por lo cual se requiere garantizar la estabilización de comunicaciones con el área de seguridad de DIAN. Actualmente, se llevan a cabo sesiones interdisciplinarias con las áreas técnicas de DIAN y los proveedores, en las cuales se discuten las diversas situaciones que se han resuelto a lo largo de la ejecución de estas mesas de trabajo. A continuación, relacionamos las situaciones que se han atendido: • Permisos origen – destino • Comunicaciones: Fallas VPN, dominios de encripción • Tuning de clústeres • Accesos a Bases de Datos On-premise Actualmente, no tenemos actividades pendientes relacionadas con estos proyectos, Kyndryl ha desarrollado los procedimientos de despliegue de recursos que permiten establecer el despliegue de infraestructura como código desde IaC. Es necesario dar relevancia a las sesiones previas de definición descritas en el procedimiento GM APROV PR_0019_Aprovisionamiento a Recursos y avanzar con las sesiones de uso y apropiación que permiten mejorar el entendimiento del proceso y las herramientas que se tienen disponibles. Esta información está considerada en la agenda de capacitación denominada “Gestión Multinube: Gobierno y procesos”. La sesión fue confirmada por DIAN para ejecutarse en el mes de noviembre. Cordialmente, Lucelly Goyes Portilla Gerente de Contrato",207,1386,fixed_words_overlap,450,75
DOC_002,CNS-0554-24 Agosto 5 2024 Mejoras despliegues DataR.pdf,MEJORA,1,DOC_002_CHUNK_001,"A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited Ernst & Young S.A.S. Ernst & Young S.A.S. Ernst & Young S.A.S. Ernst & Young S.A.S. Bogotá D.C. Medellín – Antioquia Cali – Valle del Cauca Barranquilla - Atlántico Carrera 11 No 98 - 07 Carrera 43A No. 3 Sur-130 Avenida 4 Norte No. 6N – 61 Calle 77B No 59 – 61 Edificio Pijao Green Office Edificio Milla de Oro Edificio Siglo XXI Edificio Centro Empresarial Tercer Piso Torre 1 – Piso 14 Oficina 502 Las Américas II Oficina 311 Tel. +57 (601) 484 7000 Tel: +57 (604) 369 8400 Tel: +57 (602) 485 6280 Tel: +57 (605) 385 2201 Señora CNS-0554-24 Lucelly Goyes 05 de agosto de 2024 Gerente Contrato MNH Lote1 Kyndryl Colombia S.A.S. Bogotá, D.C. Señores Germán Morante / Édgar Arias Representación legal del Consorcio para el proyecto DATAR M&Q / PWC Bogotá, D.C Solicitud de mejora en el proceso de despliegue de acuerdo con las lecciones aprendidas del reléase 1 del requerimiento de “Cifras de Recaudo” del proyecto DataR. Respetados Lucelly, Germán y Edgar De la manera más atenta, en calidad de Interventor del convenio contractual 92872- 030-2022 celebrado entre el Patrimonio Autónomo Fondo Dian para Colombia (en adelante “DIAN”) y Kyndryl Colombia S.A.S. (en adelante “Kyndryl”) y del Contrato de servicios de Consultoría No. 92872-025-2022 celebrado entre el Patrimonio Autónomo Fondo Dian para Colombia y el Consorcio M&Q -PwC-DataR (en adelante “el Consorcio”), nos permitimos hacer una relación de los aspectos a mejorar para futuros despliegues, teniendo en cuenta las lecciones aprendidas del despliegue del reléase 1 del requerimiento de “Cifras de Recaudo” del proyecto de DataR: 1. Falta de Uso de Azure Blueprints Descripción: Contractualmente, se debía implementar Azure Blueprints para la configuración y administración de los recursos en Azure por parte de Kyndryl; sin embargo, esta herramienta no se ha utilizado de manera adecuada, pues se evidencian configuraciones manuales por parte de los equipos. En donde se espera que el uso adecuado de las Herramientas de Azure DevOps como solución para la entrega de soluciones de software de forma segura y rápida.",376,2264,fixed_words_overlap,450,75
DOC_002,CNS-0554-24 Agosto 5 2024 Mejoras despliegues DataR.pdf,MEJORA,2,DOC_002_CHUNK_002,"A member firm of Ernst & Young Global Limited Impacto: • Se evidencia falta de estandarización y automatización en la implementación de servicios para el despliegue. En donde se evidencia en las sesiones configuraciones manuales de los recursos. • A la fecha, la presente actividad tiene un atraso preocupante de 9 semanas, solo para realizar el primer despliegue de los 3 proyectados inicialmente. • Dificultad para reusar y repetir despliegues a demanda o necesidad de la DIAN, en donde se evidencia que las sesiones de despliegue se avanza a prueba y error. Recomendación: implementar completamente Blueprints (Template Specs/Deployment Stacks), para garantizar una configuración estandarizada y repetible de los recursos en Azure. Hacer uso de las funciones de las herramientas de automatización de Azure DevOps para evitar configuraciones manuales y/o a prueba y error. 2. Ausencia de Infraestructura como Código (IaC) Descripción: El Consorcio entregó un Excel con la lista de servicios a implementar, sin embargo, no se evidenció la utilización de Infraestructura como Código (IaC) para el aprovisionamiento de los servicios. Impacto: • Dependencia en la configuración manual, lo que lleva a errores y variabilidad en los entornos. • Retrasos en la implementación debido a la falta de automatización. Recomendación: adoptar herramientas de IaC para la implementación y gestión automatizada de la infraestructura y aplicaciones. Así mismo se debe garantizar la homologación de características de los ambientes del Consorcio con los ambientes de la DIAN. 3. Falencias en los Desarrollos Descripción: los desarrollos realizados por el Consorcio han requerido múltiples ajustes para su correcta operación, en donde se espera que los desarrollos cumplan con las revisiones de QA previas en ambiente de desarrollo.",273,1815,fixed_words_overlap,450,75
DOC_002,CNS-0554-24 Agosto 5 2024 Mejoras despliegues DataR.pdf,MEJORA,3,DOC_002_CHUNK_003,"A member firm of Ernst & Young Global Limited Impacto: • Retrasos debido a la necesidad de corrección de errores y ajustes. • Falta de estabilidad y confiabilidad en los desarrollos entregados. Recomendación: implementar un proceso riguroso de pruebas y QA internas de los productos y/o desarrollos en ambiente de desarrollo por parte del Consorcio antes de la entrega para el despliegue. Asegurarse de que los desarrollos cumplan con los estándares de calidad y los requerimientos del proyecto. 4. Fallos en la Ejecución de Pipelines Descripción: se han presentado fallos en la ejecución de pipelines, impactando la migración de datos. Impacto: • Interrupciones en el flujo de trabajo y retrasos en la migración de datos. • Necesidad de intervención manual para solucionar problemas, lo que consume tiempo y recursos. Recomendación: automatizar la gestión y ejecución de los pipelines utilizando herramientas de DevOps. Automatización de despliegues, monitorización y alertas, recuperación automática, pruebas automatizadas. Estas medidas asegurarán que los procesos sean más eficientes, reducirán la necesidad de intervención manual y minimizarán los tiempos de inactividad, permitiendo una migración de datos más rápida. 5. Problemas con la Ejecución de Consultas en la DIAN Descripción: se han presentado problemas en la ejecución de consultas que permiten la extracción de datos desde las fuentes en la DIAN. Impacto: • Retrasos en la obtención de datos necesarios para la migración. • Complicaciones adicionales en el proceso de integración de datos. Recomendación: trabajar en estrecha colaboración con la DIAN para identificar y resolver los problemas en la ejecución de consultas. Realizar pruebas de rendimiento y optimización de consultas para asegurar una extracción de datos eficiente.",268,1798,fixed_words_overlap,450,75
DOC_003,CNS-0866-23 INT_DATAR_Comunicado_14_09102023_VF.pdf,COMUNICADO,1,DOC_003_CHUNK_001,"A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited A member firm of Ernst & Young Global Limited Ernst & Young S.A.S. Ernst & Young S.A.S. Ernst & Young S.A.S. Ernst & Young S.A.S. Bogotá D.C. Medellín – Antioquia Cali – Valle del Cauca Barranquilla - Atlántico Carrera 11 No 98 - 07 Carrera 43A No. 3 Sur-130 Avenida 4 Norte No. 6N – 61 Calle 77B No 59 – 61 Edificio Pijao Green Office Edificio Milla de Oro Edificio Siglo XXI Edificio Centro Empresarial Tercer Piso Torre 1 – Piso 14 Oficina 502 Las Américas II Oficina 311 Tel. +57 (601) 484 7000 Tel: +57 (604) 369 8400 Tel: +57 (602) 485 6280 Tel: +57 (605) 385 2201 Señores CNS-0866-23 Germán Morante / Édgar Arias 09 de octubre 2023 Representación legal del Consorcio para el proyecto DATAR MyQ/PWC Bogotá, D.C. Respuesta del Interventor relacionado con el comunicado de asunto: “Respuesta al comunicado “INT_DATAR_Comunicado_12_20230929” del 28 de septiembre 2023, remitido por el Consorcio del contrato 92872- 025-2022 el 02 de octubre 2023. Estimados Germán y Édgar: En ejercicio de nuestras funciones y en calidad de Interventor del Contrato de Servicios de Consultoría 92872-025-2022, celebrado entre el Patrimonio Autónomo Fondo DIAN para Colombia y el Consorcio M&Q – PWC – DATAR, nos permitimos dar respuesta sobre los puntos referidos en comunicación del 2 de octubre 2023, remitida por el Consorcio así: 1.Desde el mes de agosto se definieron entre las partes diferentes acuerdos frente a la desviación del cronograma, en su línea base 3, que fueron formalizados en el acta de acuerdos de fecha 4 de agosto de 2023, así como en la reunión del 28 de agosto de 2023, donde se aprobó la fecha de finalización del 18 de septiembre de 2023, enviada en la comunicación del 25 de agosto de 2023, para la finalización de las Fase 3 “Habilitación de herramientas” y Fase 4 “Diseño de procesos” a. Cierre de los entregables de la fase 3 “Habilitación de herramientas” y fase 4 “Diseño de procesos” con sus actas de aceptación. b. Cierre de la ejecución del piloto con los productos e informes asociados. c. Cierre de los informes mensuales de junio 2022 a agosto 2023. d. Finalización de los ajustes de los informes semanales pendientes de diciembre 2022 a agosto 2023. e. Firma y cierre de las actas se seguimiento semanal de diciembre 2022 a agosto 2022.",416,2400,fixed_words_overlap,450,75
DOC_003,CNS-0866-23 INT_DATAR_Comunicado_14_09102023_VF.pdf,COMUNICADO,2,DOC_003_CHUNK_002,"A member firm of Ernst & Young Global Limited Respuesta del Interventor: Con relación a lo anterior nos permitimos aclarar lo siguiente: 1. Los plazos perentorios notificados al Consorcio el 1 de agosto de 2023 por parte del Fondo DIAN en el documento de “requerimiento contractual 100202151 – 00252 del 01 de agosto de 2022”, se establecieron con el fin de solicitar al consultor dar cumplimiento a la totalidad de las obligaciones que presentaban atraso hasta el momento de la notificación, los cuales correspondían a: la fase 3 “Habilitación de herramientas”, fase 4 “Diseño de procesos” y la fase 8 “Gestión y monitoreo”. Dicha notificación dio como resultado la sesión realizada entre la DIAN, el Fondo DIAN, la Interventoría y el Consorcio el 4 de agosto 2023, en donde se acordó un plazo perentorio para cumplir con todas las obligaciones atrasadas del contrato de servicios de Consultoría 92872-025-2022 celebrado entre el Patrimonio Autónomo Fondo DIAN para Colombia y el Consorcio (M&Q y PWC), al 25 de agosto 2023. Sin embargo, debido al riesgo de posible incumplimiento de los plazos perentorios acordados, el mismo Consorcio solicitó una prórroga, la cual fue aceptada por el Fondo DIAN y la DIAN, extendiendo los plazos hasta el 18 de septiembre de 2023. 2. Habiéndose cumplido los plazos perentorios se inicia la fase 5 “Prestación de los servicios de gestión de datos” el 19 de septiembre de 2023. Sin embargo, a la fecha del comunicado emitido por la Interventoría el 28 de septiembre de 2023, el Consorcio no notificó un avance ni un plan de acción durante los seguimientos diarios sobre los entregables que presentaban atraso, de acuerdo con la línea base 3 (LB3) vigente y aprobada el 29 de junio de 2023. Estos atrasos correspondían a: a. Entregable “Inf38 Informe de soporte y mantenimiento de la Operación de DataR”, con fecha planeada de entrega del 08/08/2023. b. Entregable ""Ent40 Modelos y productos de información en operación”, con fecha planeada de entrega del 08/08/2023. c. Entregable “Ent43 - Tablero de control con actualización diaria para monitoreo técnico”, con fecha planeada de entrega del 09/08/2023. d. Informe ""Inf42 Plan de mantenimiento de la solución DataR”, con fecha planeada de entrega del 15/08/2023. Adicionalmente, el Consorcio no presentó avances sobre los acuerdos realizados en las actas de aceptación de los entregables firmadas por las partes, en donde se acordó una actualización posterior a su entrega inicial, la cual se encuentra vencida como se indica a continuación:",409,2528,fixed_words_overlap,450,75
