doc_id,filename,tipo_documento,cantidad_chunks,total_palabras,promedio_palabras_chunk,min_palabras,max_palabras
DOC_001,RTA-DIAN-Solicitud_de_Mejora_CNS-0554-24.pdf,MEJORA,7,1511,215.85714285714286,50,319
DOC_002,CNS-0554-24 Agosto 5 2024 Mejoras despliegues DataR.pdf,MEJORA,4,958,239.5,77,340
DOC_003,CNS-0866-23 INT_DATAR_Comunicado_14_09102023_VF.pdf,COMUNICADO,17,4031,237.11764705882354,76,372
DOC_004,Solicitud cambio apoyo gerencia.pdf,OTRO,1,182,182.0,182,182
DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,ACTA,12,3353,279.4166666666667,114,360
DOC_006,0332-23-INT_REV_Comunicado_4_situacion_actual_DATAR_21042023.pdf,COMUNICADO,70,16302,232.88571428571427,49,358
DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,ACTA,14,3344,238.85714285714286,46,338
DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,ACTA,19,4378,230.42105263157896,48,352
DOC_009,INT_PC_AC_Acta Seguimiento Ejecutivo_20250829.pdf,ACTA,10,2387,238.7,66,326
DOC_010,INT_PC_AC_Acta Seguimiento Ejecutivo_20250303.pdf,ACTA,11,3011,273.72727272727275,211,342
DOC_011,INT_PC_AC_Acta Seguimiento Ejecutivo_20250130.pdf,ACTA,15,4320,288.0,181,338
DOC_012,INT_PC_AC_Acta Seguimiento Ejecutivo_20241203.pdf,ACTA,7,1986,283.7142857142857,192,341
DOC_013,INT_PC_AC_Acta Seguimiento Ejecutivo_20241203.docx,ACTA,6,1904,317.3333333333333,284,350
DOC_014,INT_PC_AC_Acta Seguimiento Ejecutivo_20241024.docx,ACTA,7,2075,296.42857142857144,157,357
DOC_015,INT_PC_AC_Acta Seguimiento Ejecutivo_20240827.docx,ACTA,11,3286,298.72727272727275,166,348
DOC_016,INT_PC_AC_Acta Seguimiento Ejecutivo_20240709.docx,ACTA,14,4469,319.2142857142857,292,352
DOC_017,INT_PC_AC_Acta Seguimiento Ejecutivo_20240430.docx,ACTA,20,6159,307.95,102,378
DOC_018,INT_PC_AC_Acta Seguimiento Ejecutivo_20240227.docx,ACTA,27,7850,290.74074074074076,157,366
DOC_019,DataR - Acta - Continuación Servicios Fijos - DataR v2.docx,ACTA,3,863,287.6666666666667,229,329
DOC_020,CNS-0570-24 INT-DATAR-Comunicado 67-Incumplimiento tiempos plan de cierre-202407.docx,COMUNICADO,2,454,227.0,142,312
DOC_021,CNS-0483-24_Incumplimiento_compromisos.pdf,INCUMPLIMIENTO,1,339,339.0,339,339
DOC_022,INT_DATAR_20240105.pdf,OTRO,2,549,274.5,229,320
DOC_023,INT_DATAR_Comunicado_2_20230124.pdf,COMUNICADO,4,937,234.25,72,360
DOC_024,INT_DATAR_Comunicado_33_20231226.pdf,COMUNICADO,7,1574,224.85714285714286,87,362
DOC_025,INT_DATAR_Comunicado_36_20140105.pdf,COMUNICADO,2,549,274.5,229,320
DOC_026,INT_EJE_RV_Comunicado_3_DATAR_10042023_VF.pdf,COMUNICADO,9,2168,240.88888888888889,72,361
DOC_027,INT_DATAR_Comunicado_12_20230929- V1.pdf,COMUNICADO,3,740,246.66666666666666,101,364
DOC_028,CNS-XXXX-24 INT-DATAR-Comunicado 58-Respuesta de interventoría-202405.docx,COMUNICADO,9,2709,301.0,246,336
DOC_029,CNS-0418-24 INT-DATAR-Comunicado 59-Resultado Review S9-202405.docx,COMUNICADO,5,1476,295.2,157,349
DOC_030,CNS-0418-24 INT-DATAR-Comunicado 59-Resultado Review S9-202405.pdf,COMUNICADO,7,1599,228.42857142857142,69,348
DOC_031,CNS-xxxx-24 INT-DATAR-Comunicado 63-Incumplimiento compromisos otrosí2-202407.docx,COMUNICADO,2,451,225.5,105,346
DOC_032,0504-24_INT-DATAR-Comunicado 64-notificación aplicación ANS Cifras recaudo-202407.pdf,COMUNICADO,1,312,312.0,312,312
DOC_033,INT_PC_AC_Acta Seguimiento Interventoria_20240409.docx,ACTA,6,1770,295.0,126,355
DOC_034,INT_PC_AC_Acta Seguimiento Interventoria_20240402.docx,ACTA,5,1632,326.4,277,362
DOC_035,RQ001 Acta Review Sprint 8_Firmada.pdf,ACTA,3,856,285.3333333333333,215,342
DOC_036,CNS-0570-24 INT-DATAR-Comunicado 67-Incumplimiento tiempos plan de cierre-202407.pdf,COMUNICADO,2,455,227.5,107,348
